n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.292e-01	5.162e-01	8.930e-01	8.324e-01	5.826e-01	8.568e-01	2.974e-01	1.424e-01	6.685e-01	6.566e-01	4.159e-01	7.270e-01	8.655e-01	8.352e-01	8.930e-01
2.000e+02	6.871e-01	4.614e-01	8.930e-01	5.742e-01	4.388e-01	7.607e-01	2.355e-01	1.018e-01	3.186e-01	6.190e-01	2.922e-01	7.206e-01	8.435e-01	8.000e-01	8.660e-01
3.000e+02	6.871e-01	4.614e-01	8.930e-01	5.241e-01	4.421e-01	6.059e-01	2.290e-01	1.845e-01	2.978e-01	4.161e-01	2.665e-01	6.939e-01	8.352e-01	7.578e-01	8.660e-01
4.000e+02	6.871e-01	4.614e-01	8.930e-01	5.241e-01	4.421e-01	6.011e-01	2.526e-01	2.050e-01	3.105e-01	3.238e-01	2.253e-01	6.152e-01	8.352e-01	4.774e-01	8.660e-01
5.000e+02	6.871e-01	4.614e-01	8.930e-01	4.994e-01	4.388e-01	6.001e-01	2.575e-01	2.098e-01	3.125e-01	3.091e-01	2.542e-01	4.696e-01	8.340e-01	4.635e-01	8.614e-01
6.000e+02	6.871e-01	4.614e-01	8.930e-01	4.994e-01	4.388e-01	5.830e-01	2.766e-01	2.202e-01	3.184e-01	3.091e-01	2.253e-01	4.249e-01	8.000e-01	1.083e-01	8.614e-01
7.000e+02	6.871e-01	4.614e-01	8.930e-01	4.994e-01	4.388e-01	5.830e-01	2.766e-01	2.202e-01	3.166e-01	2.665e-01	2.082e-01	4.041e-01	7.599e-01	5.983e-06	8.614e-01
8.000e+02	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.314e-01	5.826e-01	2.766e-01	2.202e-01	3.166e-01	2.654e-01	2.082e-01	3.801e-01	7.578e-01	5.983e-06	8.305e-01
9.000e+02	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.314e-01	5.826e-01	2.766e-01	2.202e-01	3.166e-01	2.665e-01	2.240e-01	3.801e-01	7.141e-01	5.983e-06	8.000e-01
1.000e+03	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.314e-01	5.826e-01	2.766e-01	2.202e-01	3.166e-01	2.651e-01	2.198e-01	3.411e-01	7.578e-01	5.983e-06	7.985e-01
1.100e+03	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.177e-01	5.826e-01	2.766e-01	2.202e-01	3.166e-01	2.638e-01	2.082e-01	3.394e-01	7.141e-01	5.983e-06	8.000e-01
1.200e+03	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.177e-01	5.826e-01	2.766e-01	2.202e-01	3.184e-01	2.651e-01	2.198e-01	3.394e-01	6.873e-01	5.983e-06	7.599e-01
1.300e+03	6.871e-01	4.614e-01	8.930e-01	4.914e-01	4.177e-01	5.826e-01	2.766e-01	2.202e-01	3.184e-01	2.665e-01	2.240e-01	3.394e-01	6.924e-01	5.983e-06	7.848e-01
1.400e+03	6.379e-01	4.318e-01	8.930e-01	4.771e-01	3.897e-01	5.401e-01	2.766e-01	2.151e-01	3.184e-01	2.826e-01	2.252e-01	3.394e-01	4.490e-01	1.895e-07	7.599e-01
1.500e+03	6.379e-01	4.318e-01	8.930e-01	4.771e-01	2.832e-01	5.401e-01	2.766e-01	2.151e-01	3.184e-01	2.665e-01	2.252e-01	3.394e-01	4.490e-01	2.187e-08	7.599e-01
1.600e+03	6.379e-01	4.318e-01	8.930e-01	4.771e-01	2.832e-01	5.401e-01	2.833e-01	2.202e-01	3.263e-01	2.826e-01	2.484e-01	3.411e-01	4.490e-01	2.187e-08	7.167e-01
1.700e+03	6.379e-01	4.318e-01	8.930e-01	4.771e-01	2.832e-01	5.401e-01	2.833e-01	2.202e-01	3.263e-01	2.826e-01	2.484e-01	3.411e-01	4.635e-01	1.088e-08	7.167e-01
1.800e+03	6.379e-01	4.318e-01	8.930e-01	4.771e-01	2.832e-01	5.401e-01	2.833e-01	2.202e-01	3.263e-01	2.826e-01	2.484e-01	3.411e-01	2.399e-01	1.088e-08	7.167e-01
1.900e+03	6.379e-01	4.318e-01	8.930e-01	4.686e-01	2.832e-01	5.401e-01	2.766e-01	2.202e-01	3.184e-01	2.739e-01	2.240e-01	3.252e-01	2.399e-01	1.088e-08	7.167e-01
2.000e+03	6.379e-01	4.318e-01	8.930e-01	4.686e-01	2.886e-01	5.401e-01	2.766e-01	2.202e-01	3.184e-01	2.745e-01	2.252e-01	3.252e-01	1.052e-03	8.709e-09	6.924e-01
2.100e+03	6.379e-01	4.318e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.826e-01	2.484e-01	3.252e-01	1.052e-03	4.112e-09	6.924e-01
2.200e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.826e-01	2.484e-01	3.252e-01	1.424e-05	4.112e-09	6.924e-01
2.300e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.859e-01	2.484e-01	3.411e-01	2.799e-02	4.112e-09	4.945e-01
2.400e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.967e-01	2.487e-01	3.415e-01	2.799e-02	4.112e-09	4.945e-01
2.500e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.967e-01	2.240e-01	3.415e-01	2.799e-02	4.112e-09	4.945e-01
2.600e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.967e-01	2.240e-01	3.415e-01	2.799e-02	4.112e-09	4.945e-01
2.700e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.006e-01	2.240e-01	3.435e-01	1.248e-01	8.709e-09	4.945e-01
2.800e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.006e-01	2.240e-01	3.435e-01	3.455e-01	8.709e-09	5.956e-01
2.900e+03	6.345e-01	4.315e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.006e-01	2.240e-01	3.435e-01	3.455e-01	8.709e-09	4.945e-01
3.000e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.006e-01	2.240e-01	3.435e-01	2.798e-01	4.112e-09	4.945e-01
3.100e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	2.967e-01	2.240e-01	3.415e-01	2.798e-01	4.112e-09	4.635e-01
3.200e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	2.798e-01	4.112e-09	4.635e-01
3.300e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.437e-01	3.415e-01	1.886e-01	4.112e-09	4.635e-01
3.400e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.437e-01	3.415e-01	4.199e-02	4.112e-09	4.635e-01
3.500e+03	6.345e-01	4.311e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	4.199e-02	4.112e-09	4.635e-01
3.600e+03	6.345e-01	4.312e-01	8.930e-01	4.437e-01	2.832e-01	5.262e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	4.199e-02	4.112e-09	4.635e-01
3.700e+03	6.345e-01	4.312e-01	8.930e-01	4.421e-01	2.628e-01	5.241e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	4.199e-02	4.112e-09	4.635e-01
3.800e+03	6.345e-01	4.312e-01	8.930e-01	4.421e-01	2.628e-01	5.241e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	2.799e-02	6.808e-10	4.635e-01
3.900e+03	6.345e-01	4.312e-01	8.930e-01	4.421e-01	2.628e-01	5.241e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	2.799e-02	6.808e-10	4.635e-01
4.000e+03	6.345e-01	4.312e-01	8.930e-01	4.287e-01	2.504e-01	4.914e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	1.886e-01	4.112e-09	4.635e-01
4.100e+03	6.345e-01	4.312e-01	8.930e-01	4.287e-01	2.130e-01	4.913e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	1.886e-01	4.112e-09	4.635e-01
4.200e+03	6.345e-01	4.312e-01	8.930e-01	4.196e-01	1.992e-01	4.771e-01	2.766e-01	2.202e-01	3.184e-01	3.029e-01	2.556e-01	3.415e-01	1.886e-01	4.112e-09	4.635e-01
4.300e+03	5.776e-01	4.311e-01	8.921e-01	4.196e-01	2.130e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.886e-01	4.112e-09	4.635e-01
4.400e+03	5.776e-01	4.311e-01	8.921e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.886e-01	4.112e-09	4.937e-01
4.500e+03	5.776e-01	4.311e-01	8.921e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.820e-01	4.112e-09	4.937e-01
4.600e+03	5.610e-01	4.309e-01	8.533e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.886e-01	4.112e-09	4.937e-01
4.700e+03	5.610e-01	4.310e-01	8.533e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.902e-01	4.112e-09	4.937e-01
4.800e+03	5.610e-01	4.310e-01	8.533e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.902e-01	4.112e-09	4.937e-01
4.900e+03	5.610e-01	4.310e-01	8.533e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.902e-01	4.112e-09	4.937e-01
5.000e+03	5.610e-01	4.310e-01	8.533e-01	4.259e-01	2.541e-01	4.771e-01	2.662e-01	2.118e-01	3.184e-01	3.006e-01	2.240e-01	3.415e-01	1.902e-01	4.112e-09	4.937e-01
