n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	8.892e-01	4.412e-01	8.930e-01	8.646e-01	6.923e-01	8.660e-01	4.309e-01	2.147e-01	6.441e-01	6.381e-01	3.837e-01	7.465e-01	8.660e-01	8.352e-01	8.930e-01
2.000e+02	5.080e-01	4.121e-01	8.930e-01	8.166e-01	6.166e-01	8.659e-01	2.601e-01	1.497e-01	3.287e-01	3.837e-01	2.309e-01	4.151e-01	8.532e-01	8.000e-01	8.660e-01
3.000e+02	4.738e-01	3.947e-01	8.930e-01	6.923e-01	4.464e-01	8.655e-01	1.714e-01	9.798e-02	2.699e-01	2.781e-01	1.967e-01	3.878e-01	8.390e-01	7.599e-01	8.660e-01
4.000e+02	4.314e-01	3.947e-01	8.930e-01	6.166e-01	3.822e-01	8.601e-01	2.114e-01	1.344e-01	2.812e-01	2.753e-01	1.588e-01	3.818e-01	8.352e-01	7.569e-01	8.660e-01
5.000e+02	4.314e-01	3.947e-01	8.930e-01	5.512e-01	3.822e-01	8.166e-01	2.375e-01	1.389e-01	2.891e-01	2.759e-01	1.947e-01	3.818e-01	8.352e-01	7.599e-01	8.660e-01
6.000e+02	4.314e-01	3.947e-01	8.930e-01	5.512e-01	3.706e-01	8.116e-01	2.375e-01	1.344e-01	2.812e-01	2.762e-01	1.649e-01	3.701e-01	8.281e-01	7.599e-01	8.660e-01
7.000e+02	4.314e-01	3.947e-01	8.930e-01	5.512e-01	3.434e-01	8.116e-01	2.523e-01	1.917e-01	2.970e-01	2.655e-01	1.915e-01	3.701e-01	8.077e-01	7.599e-01	8.390e-01
8.000e+02	4.314e-01	3.947e-01	8.930e-01	5.261e-01	3.434e-01	8.116e-01	2.517e-01	1.917e-01	2.891e-01	2.759e-01	1.967e-01	3.658e-01	8.000e-01	7.530e-01	8.352e-01
9.000e+02	4.314e-01	3.947e-01	8.928e-01	4.683e-01	3.261e-01	7.136e-01	2.523e-01	1.960e-01	2.891e-01	2.714e-01	1.947e-01	3.274e-01	8.000e-01	7.411e-01	8.352e-01
1.000e+03	4.314e-01	3.947e-01	8.928e-01	4.523e-01	3.261e-01	6.923e-01	2.523e-01	1.960e-01	2.891e-01	2.680e-01	1.967e-01	3.204e-01	8.000e-01	7.411e-01	8.000e-01
1.100e+03	4.317e-01	3.947e-01	8.928e-01	4.464e-01	3.261e-01	6.923e-01	2.534e-01	1.979e-01	2.812e-01	2.759e-01	1.967e-01	3.204e-01	7.792e-01	7.141e-01	8.000e-01
1.200e+03	4.317e-01	3.947e-01	8.928e-01	4.454e-01	3.082e-01	6.071e-01	2.523e-01	1.960e-01	2.794e-01	2.680e-01	2.012e-01	3.164e-01	7.599e-01	7.141e-01	8.000e-01
1.300e+03	4.317e-01	3.947e-01	8.928e-01	4.396e-01	3.061e-01	5.010e-01	2.517e-01	1.952e-01	2.699e-01	2.759e-01	2.012e-01	3.274e-01	7.599e-01	7.141e-01	8.000e-01
1.400e+03	4.317e-01	3.947e-01	8.918e-01	4.396e-01	3.390e-01	5.010e-01	2.517e-01	1.952e-01	2.699e-01	2.885e-01	2.452e-01	3.483e-01	7.599e-01	7.048e-01	8.000e-01
1.500e+03	4.317e-01	3.947e-01	8.918e-01	4.396e-01	3.390e-01	5.010e-01	2.517e-01	1.952e-01	2.794e-01	2.802e-01	2.532e-01	3.391e-01	7.599e-01	7.048e-01	8.000e-01
1.600e+03	4.317e-01	3.947e-01	8.918e-01	3.822e-01	3.261e-01	4.918e-01	2.398e-01	1.952e-01	2.794e-01	2.858e-01	2.532e-01	3.391e-01	7.599e-01	7.048e-01	8.000e-01
1.700e+03	4.317e-01	4.285e-01	8.918e-01	4.342e-01	3.390e-01	4.993e-01	2.375e-01	1.848e-01	2.699e-01	2.858e-01	2.532e-01	3.391e-01	7.599e-01	6.913e-01	8.000e-01
1.800e+03	4.314e-01	4.286e-01	8.710e-01	4.290e-01	3.261e-01	5.212e-01	2.375e-01	1.848e-01	2.699e-01	2.885e-01	2.643e-01	3.522e-01	7.599e-01	5.358e-01	8.000e-01
1.900e+03	4.314e-01	4.286e-01	8.710e-01	4.290e-01	3.261e-01	4.993e-01	2.375e-01	1.848e-01	2.699e-01	2.929e-01	2.643e-01	3.522e-01	7.599e-01	5.358e-01	7.599e-01
2.000e+03	4.311e-01	4.286e-01	5.261e-01	4.290e-01	3.261e-01	4.993e-01	2.375e-01	1.848e-01	2.699e-01	2.858e-01	2.603e-01	3.726e-01	7.599e-01	5.358e-01	7.599e-01
2.100e+03	4.314e-01	4.293e-01	5.261e-01	3.773e-01	2.878e-01	5.212e-01	2.067e-01	9.798e-02	2.549e-01	2.929e-01	2.655e-01	3.726e-01	7.599e-01	5.358e-01	7.599e-01
2.200e+03	4.314e-01	4.293e-01	5.261e-01	3.815e-01	2.878e-01	5.212e-01	2.067e-01	9.798e-02	2.549e-01	2.929e-01	2.655e-01	3.726e-01	7.552e-01	4.359e-01	7.599e-01
2.300e+03	4.314e-01	4.293e-01	5.261e-01	3.773e-01	2.878e-01	4.993e-01	2.067e-01	9.798e-02	2.549e-01	2.929e-01	2.655e-01	3.726e-01	7.552e-01	4.359e-01	7.599e-01
2.400e+03	4.314e-01	4.288e-01	5.261e-01	3.773e-01	2.878e-01	4.993e-01	2.067e-01	9.798e-02	2.549e-01	3.020e-01	2.655e-01	3.711e-01	7.552e-01	2.298e-01	7.599e-01
2.500e+03	4.314e-01	4.293e-01	5.261e-01	3.773e-01	2.917e-01	4.993e-01	2.067e-01	9.798e-02	2.549e-01	3.046e-01	2.749e-01	3.711e-01	7.552e-01	2.298e-01	7.599e-01
2.600e+03	4.314e-01	4.293e-01	5.261e-01	3.815e-01	3.390e-01	5.212e-01	2.067e-01	1.848e-01	2.549e-01	3.020e-01	2.655e-01	3.711e-01	7.552e-01	2.298e-01	7.599e-01
2.700e+03	4.314e-01	4.293e-01	5.261e-01	3.773e-01	2.917e-01	5.212e-01	2.067e-01	1.848e-01	2.549e-01	3.020e-01	2.655e-01	3.711e-01	7.552e-01	6.614e-01	7.599e-01
2.800e+03	4.314e-01	4.293e-01	5.261e-01	3.773e-01	2.917e-01	4.993e-01	2.067e-01	1.848e-01	2.549e-01	3.046e-01	2.655e-01	3.726e-01	7.552e-01	6.614e-01	7.599e-01
2.900e+03	4.314e-01	4.293e-01	5.261e-01	4.290e-01	2.917e-01	4.993e-01	2.067e-01	1.848e-01	2.549e-01	3.046e-01	2.655e-01	3.726e-01	7.552e-01	6.614e-01	7.599e-01
3.000e+03	4.313e-01	4.299e-01	5.080e-01	4.290e-01	2.917e-01	4.993e-01	2.067e-01	1.848e-01	2.549e-01	2.876e-01	2.549e-01	3.726e-01	7.552e-01	6.614e-01	7.599e-01
3.100e+03	4.313e-01	4.299e-01	5.080e-01	3.773e-01	2.692e-01	4.993e-01	2.067e-01	1.848e-01	2.549e-01	2.876e-01	2.549e-01	3.726e-01	7.141e-01	6.614e-01	7.599e-01
3.200e+03	4.313e-01	4.299e-01	5.080e-01	3.773e-01	2.470e-01	4.847e-01	2.067e-01	1.848e-01	2.549e-01	2.876e-01	2.549e-01	3.726e-01	7.141e-01	2.939e-01	7.599e-01
3.300e+03	4.313e-01	4.299e-01	5.080e-01	3.773e-01	2.470e-01	4.847e-01	2.067e-01	1.848e-01	2.549e-01	2.876e-01	2.549e-01	3.726e-01	7.141e-01	2.939e-01	7.599e-01
3.400e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.470e-01	4.847e-01	2.067e-01	1.848e-01	2.549e-01	2.858e-01	2.452e-01	3.726e-01	7.141e-01	1.921e-01	7.599e-01
3.500e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.570e-01	4.847e-01	2.067e-01	1.848e-01	2.549e-01	2.876e-01	2.452e-01	3.726e-01	7.141e-01	1.921e-01	7.599e-01
3.600e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.470e-01	4.847e-01	2.035e-01	9.798e-02	2.524e-01	3.020e-01	2.452e-01	3.726e-01	7.141e-01	1.921e-01	7.599e-01
3.700e+03	4.313e-01	4.299e-01	5.261e-01	4.293e-01	2.570e-01	4.847e-01	2.035e-01	9.798e-02	2.524e-01	3.046e-01	2.549e-01	3.726e-01	7.141e-01	1.921e-01	7.599e-01
3.800e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.570e-01	4.577e-01	2.035e-01	5.544e-02	2.524e-01	3.046e-01	2.549e-01	3.726e-01	7.141e-01	1.921e-01	7.599e-01
3.900e+03	4.313e-01	4.299e-01	5.261e-01	3.616e-01	2.570e-01	4.464e-01	2.035e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	1.921e-01	7.599e-01
4.000e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.580e-01	4.464e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	4.756e-02	7.599e-01
4.100e+03	4.313e-01	4.299e-01	5.261e-01	3.773e-01	2.580e-01	4.455e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	3.871e-02	7.599e-01
4.200e+03	4.313e-01	4.299e-01	5.261e-01	4.357e-01	3.111e-01	4.696e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	3.871e-02	7.599e-01
4.300e+03	4.313e-01	4.299e-01	5.261e-01	4.293e-01	2.709e-01	4.696e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	3.871e-02	7.599e-01
4.400e+03	4.313e-01	4.299e-01	5.261e-01	4.293e-01	2.709e-01	4.696e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	3.871e-02	7.599e-01
4.500e+03	4.313e-01	4.303e-01	5.261e-01	3.616e-01	2.709e-01	4.464e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	1.721e-02	7.599e-01
4.600e+03	4.313e-01	4.303e-01	5.261e-01	4.012e-01	2.709e-01	4.464e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	1.721e-02	7.599e-01
4.700e+03	4.313e-01	4.303e-01	5.261e-01	4.274e-01	2.895e-01	4.464e-01	2.059e-01	5.544e-02	2.524e-01	3.020e-01	2.452e-01	3.711e-01	7.141e-01	1.721e-02	7.599e-01
