problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
train;me-hebbian-synapse;5;1;100;100;3.52400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-1.55900e+00;5.27437e+00;6.10076e-02
train;me-hebbian-synapse;8;1;100;100;4.35800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-4.16059e-01;2.57356e+00;1.09888e+00
train;me-hebbian-synapse;1;1;100;100;5.86500e+00;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.90099e+02;1.95042e+02;2.39244e+02
train;me-hebbian-synapse;10;1;100;100;6.47200e+00;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;7.08900e+01;7.39255e+01;9.65316e+01
train;me-hebbian-synapse;4;1;100;100;7.18700e+00;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.32282e+01;6.80672e+01;1.28341e+02
train;me-hebbian-synapse;6;1;100;100;7.40700e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-2.32461e+00;1.49300e+00;2.75857e-01
train;me-hebbian-synapse;7;1;100;100;8.21200e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-1.67372e+00;-3.31430e+01;4.49291e-01
train;me-hebbian-synapse;3;1;100;100;8.62400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-2.13487e+00;5.95645e+00;3.20960e-01
train;me-hebbian-synapse;9;1;100;100;9.17500e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-8.74007e-01;1.81135e+00;1.00578e+01
train;me-hebbian-synapse;2;1;100;100;9.44600e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.66761e+00;9.92341e+00;6.03455e+00
train;me-hebbian-synapse;5;2;200;200;1.01740e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;9.60428e-01;6.43326e+00;2.74972e+00
train;me-hebbian-synapse;8;2;200;200;1.10040e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.77494e+01;2.38127e+01;7.22132e+01
train;me-hebbian-synapse;1;2;200;200;1.19720e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;2;200;200;1.27390e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.40979e+01;8.99229e+01;1.75779e+02
train;me-hebbian-synapse;4;2;200;200;1.34940e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;2;200;200;1.42280e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;-2.32461e+00;1.49300e+00;2.75857e-01
train;me-hebbian-synapse;7;2;200;200;1.49720e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;2;200;200;1.56870e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;2;200;200;1.63930e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.71428e+01;4.03630e+01;8.03620e+01
train;me-hebbian-synapse;2;2;200;200;1.71680e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.97944e+01;2.98977e+01;6.38680e+01
train;me-hebbian-synapse;5;3;300;300;1.79010e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;9.60428e-01;6.43326e+00;2.74972e+00
train;me-hebbian-synapse;8;3;300;300;1.86410e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.79326e+02;1.80387e+02;2.22423e+02
train;me-hebbian-synapse;1;3;300;300;1.94760e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;3;300;300;2.01720e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.40979e+01;8.99229e+01;1.75779e+02
train;me-hebbian-synapse;4;3;300;300;2.09940e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;3;300;300;2.19480e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.03066e+01;6.81573e+01;4.48164e+01
train;me-hebbian-synapse;7;3;300;300;2.26240e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;3;300;300;2.34130e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;3;300;300;2.42540e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.78381e+01;4.06442e+01;2.89008e+01
train;me-hebbian-synapse;2;3;300;300;2.48130e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.22447e+01;4.18507e+01;9.14526e+01
train;me-hebbian-synapse;5;4;400;400;2.56450e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;7.58896e+01;7.80467e+01;1.59671e+02
train;me-hebbian-synapse;8;4;400;400;2.63070e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.09913e+02;2.06636e+02;1.41207e+02
train;me-hebbian-synapse;1;4;400;400;2.70570e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;4;400;400;2.78330e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.40979e+01;8.99229e+01;1.75779e+02
train;me-hebbian-synapse;4;4;400;400;2.85050e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;4;400;400;2.93030e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;9.05785e+01;9.46197e+01;1.28194e+02
train;me-hebbian-synapse;7;4;400;400;3.01220e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;4;400;400;3.09350e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;4;400;400;3.17200e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;4;400;400;3.24930e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.19614e+02;1.02762e+02;7.37954e+01
train;me-hebbian-synapse;5;5;500;500;3.31990e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.63863e+02;1.69051e+02;2.04324e+02
train;me-hebbian-synapse;8;5;500;500;3.40170e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.09913e+02;2.06636e+02;1.41207e+02
train;me-hebbian-synapse;1;5;500;500;3.46800e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;5;500;500;3.54170e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.40979e+01;8.99229e+01;1.75779e+02
train;me-hebbian-synapse;4;5;500;500;3.62040e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;5;500;500;3.68950e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.84717e+02;2.93343e+02;2.05001e+02
train;me-hebbian-synapse;7;5;500;500;3.76430e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;5;500;500;3.83530e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;5;500;500;3.91210e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;5;500;500;3.99660e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.19614e+02;1.02762e+02;7.37954e+01
train;me-hebbian-synapse;5;6;600;600;4.07680e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.63863e+02;1.69051e+02;2.04324e+02
train;me-hebbian-synapse;8;6;600;600;4.15480e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;6;600;600;4.23520e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;6;600;600;4.31550e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.37236e+02;1.40970e+02;1.41463e+02
train;me-hebbian-synapse;4;6;600;600;4.37680e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;6;600;600;4.44840e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.84717e+02;2.93343e+02;2.05001e+02
train;me-hebbian-synapse;7;6;600;600;4.52620e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;6;600;600;4.60130e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;6;600;600;4.67360e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;6;600;600;4.74390e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.19614e+02;1.02762e+02;7.37954e+01
train;me-hebbian-synapse;5;7;700;700;4.82190e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;7;700;700;4.90350e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;7;700;700;4.97570e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;7;700;700;5.05340e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.04835e+02;2.07545e+02;1.64030e+02
train;me-hebbian-synapse;4;7;700;700;5.12990e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;7;700;700;5.20470e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.84717e+02;2.93343e+02;2.05001e+02
train;me-hebbian-synapse;7;7;700;700;5.28050e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;7;700;700;5.36450e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;6.85765e+01;6.70786e+01;1.45255e+02
train;me-hebbian-synapse;9;7;700;700;5.43050e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;7;700;700;5.50490e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;8;800;800;5.58650e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;8;800;800;5.65180e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;8;800;800;5.72900e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;8;800;800;5.80540e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.04835e+02;2.07545e+02;1.64030e+02
train;me-hebbian-synapse;4;8;800;800;5.88060e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;8;800;800;5.95910e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.84717e+02;2.93343e+02;2.05001e+02
train;me-hebbian-synapse;7;8;800;800;6.03180e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;8;800;800;6.10700e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.77857e+01;9.24328e+01;1.87347e+02
train;me-hebbian-synapse;9;8;800;800;6.18490e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;8;800;800;6.25860e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;9;900;900;6.32880e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;9;900;900;6.40350e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;9;900;900;6.48290e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;9;900;900;6.56330e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.04835e+02;2.07545e+02;1.64030e+02
train;me-hebbian-synapse;4;9;900;900;6.63540e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;9;900;900;6.70810e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.84717e+02;2.93343e+02;2.05001e+02
train;me-hebbian-synapse;7;9;900;900;6.78440e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;9;900;900;6.85710e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;8.77857e+01;9.24328e+01;1.87347e+02
train;me-hebbian-synapse;9;9;900;900;6.93470e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;9;900;900;7.01230e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;10;1000;1000;7.08500e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;10;1000;1000;7.17080e+01;19;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;10;1000;1000;7.23350e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;10;1000;1000;7.30890e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.04835e+02;2.07545e+02;1.64030e+02
train;me-hebbian-synapse;4;10;1000;1000;7.38930e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;10;1000;1000;7.45860e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.51815e+02;3.56545e+02;1.80719e+02
train;me-hebbian-synapse;7;10;1000;1000;7.53480e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;10;1000;1000;7.60850e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;10;1000;1000;7.68410e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;10;1000;1000;7.76270e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;11;1100;1100;7.83410e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;11;1100;1100;7.92330e+01;20;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;11;1100;1100;7.98590e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;11;1100;1100;8.05850e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.21454e+02;3.24887e+02;1.63920e+02
train;me-hebbian-synapse;4;11;1100;1100;8.13490e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;11;1100;1100;8.21180e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.51815e+02;3.56545e+02;1.80719e+02
train;me-hebbian-synapse;7;11;1100;1100;8.28450e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.78090e+02;2.80643e+02;2.28059e+02
train;me-hebbian-synapse;3;11;1100;1100;8.35970e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;11;1100;1100;8.43810e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;11;1100;1100;8.51470e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;12;1200;1200;8.58530e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;12;1200;1200;8.66310e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;12;1200;1200;8.73540e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.00035e+02;2.03627e+02;1.69303e+02
train;me-hebbian-synapse;10;12;1200;1200;8.81300e+01;19;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.21454e+02;3.24887e+02;1.63920e+02
train;me-hebbian-synapse;4;12;1200;1200;8.88650e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.77986e+02;3.82077e+02;1.85393e+02
train;me-hebbian-synapse;6;12;1200;1200;8.96060e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.51815e+02;3.56545e+02;1.80719e+02
train;me-hebbian-synapse;7;12;1200;1200;9.03440e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.92019e+02;3.80062e+02;1.35597e+02
train;me-hebbian-synapse;3;12;1200;1200;9.10980e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;12;1200;1200;9.18640e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;12;1200;1200;9.26170e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;13;1300;1300;9.33480e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;13;1300;1300;9.40830e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;13;1300;1300;9.48400e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.89619e+02;3.96932e+02;1.95308e+02
train;me-hebbian-synapse;10;13;1300;1300;9.56220e+01;21;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.21454e+02;3.24887e+02;1.63920e+02
train;me-hebbian-synapse;4;13;1300;1300;9.63080e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.51101e+02;4.53000e+02;6.01690e+00
train;me-hebbian-synapse;6;13;1300;1300;9.71230e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.51815e+02;3.56545e+02;1.80719e+02
train;me-hebbian-synapse;7;13;1300;1300;9.78680e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.92019e+02;3.80062e+02;1.35597e+02
train;me-hebbian-synapse;3;13;1300;1300;9.86280e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;13;1300;1300;9.93580e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;13;1300;1300;1.00215e+02;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;14;1400;1400;1.00877e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;14;1400;1400;1.01615e+02;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;14;1400;1400;1.02344e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.89619e+02;3.96932e+02;1.95308e+02
train;me-hebbian-synapse;10;14;1400;1400;1.03065e+02;24;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.68199e+02;3.71270e+02;1.00519e+02
train;me-hebbian-synapse;4;14;1400;1400;1.03855e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.51101e+02;4.53000e+02;6.01690e+00
train;me-hebbian-synapse;6;14;1400;1400;1.04601e+02;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.51815e+02;3.56545e+02;1.80719e+02
train;me-hebbian-synapse;7;14;1400;1400;1.05344e+02;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.92019e+02;3.80062e+02;1.35597e+02
train;me-hebbian-synapse;3;14;1400;1400;1.06072e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;14;1400;1400;1.06829e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;14;1400;1400;1.07547e+02;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.12634e+02;2.16344e+02;1.60748e+02
train;me-hebbian-synapse;5;15;1500;1500;1.08346e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;15;1500;1500;1.09097e+02;25;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;15;1500;1500;1.09929e+02;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.89619e+02;3.96932e+02;1.95308e+02
train;me-hebbian-synapse;10;15;1500;1500;1.10610e+02;27;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.68199e+02;3.71270e+02;1.00519e+02
train;me-hebbian-synapse;4;15;1500;1500;1.11297e+02;17;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.51101e+02;4.53000e+02;6.01690e+00
train;me-hebbian-synapse;6;15;1500;1500;1.12102e+02;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.57275e+02;4.63154e+02;2.72832e+00
train;me-hebbian-synapse;7;15;1500;1500;1.12829e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.92019e+02;3.80062e+02;1.35597e+02
train;me-hebbian-synapse;3;15;1500;1500;1.13581e+02;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;15;1500;1500;1.14376e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;15;1500;1500;1.15103e+02;21;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.67176e+02;2.59542e+02;2.19917e+02
train;me-hebbian-synapse;5;16;1600;1600;1.15844e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
train;me-hebbian-synapse;8;16;1600;1600;1.16613e+02;25;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.12909e+02;3.16430e+02;1.60729e+02
train;me-hebbian-synapse;1;16;1600;1600;1.17400e+02;20;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.89619e+02;3.96932e+02;1.95308e+02
train;me-hebbian-synapse;10;16;1600;1600;1.18127e+02;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.68199e+02;3.71270e+02;1.00519e+02
train;me-hebbian-synapse;4;16;1600;1600;1.18844e+02;17;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.51101e+02;4.53000e+02;6.01690e+00
train;me-hebbian-synapse;6;16;1600;1600;1.19561e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;4.57275e+02;4.63154e+02;2.72832e+00
train;me-hebbian-synapse;7;16;1600;1600;1.20320e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.92019e+02;3.80062e+02;1.35597e+02
train;me-hebbian-synapse;3;16;1600;1600;1.21040e+02;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;1.49607e+02;1.54363e+02;1.98185e+02
train;me-hebbian-synapse;9;16;1600;1600;1.21827e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;2.87285e+02;2.85602e+02;2.36667e+02
train;me-hebbian-synapse;2;16;1600;1600;1.22615e+02;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72695e+02;3.76450e+02;1.90917e+02
train;me-hebbian-synapse;5;17;1700;1700;1.23305e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;328;3.72414e+02;3.81119e+02;1.83442e+02
