problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
train;me-hebbian-synapse;9;1;100;100;2.77100e+00;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.63584e+02;1.66690e+02;2.02651e+02
train;me-hebbian-synapse;7;1;100;100;3.45300e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.35992e+00;5.62104e+00;1.17759e+01
train;me-hebbian-synapse;8;1;100;100;4.32500e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.27877e-01;3.43370e+00;5.44724e+00
train;me-hebbian-synapse;10;1;100;100;4.97200e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;-1.79911e+00;1.39908e+00;2.21886e-02
train;me-hebbian-synapse;4;1;100;100;5.74600e+00;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.00759e+00;1.33472e+01;2.90565e+01
train;me-hebbian-synapse;3;1;100;100;6.45700e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10215e+00;5.40611e+00;4.93746e+00
train;me-hebbian-synapse;6;1;100;100;7.21400e+00;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;1;100;100;8.00800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;-2.06492e+00;4.61131e+00;9.42257e-01
train;me-hebbian-synapse;2;1;100;100;8.82800e+00;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.74575e+00;1.03937e+01;2.53876e+01
train;me-hebbian-synapse;1;1;100;100;9.47600e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;-2.15784e+00;1.13322e+00;4.33243e-01
train;me-hebbian-synapse;9;2;200;200;1.03230e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;2;200;200;1.10200e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;2;200;200;1.18550e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;2;200;200;1.25940e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;-1.79911e+00;1.39908e+00;2.21886e-02
train;me-hebbian-synapse;4;2;200;200;1.33380e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.00759e+00;1.33472e+01;2.90565e+01
train;me-hebbian-synapse;3;2;200;200;1.41200e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.12025e+01;8.46094e+01;1.68326e+02
train;me-hebbian-synapse;6;2;200;200;1.49150e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;2;200;200;1.57040e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;2;200;200;1.64710e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.64061e+01;7.08691e+01;1.38295e+02
train;me-hebbian-synapse;1;2;200;200;1.72530e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;7.09489e+01;7.16520e+01;1.49123e+02
train;me-hebbian-synapse;9;3;300;300;1.80150e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;3;300;300;1.87520e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;3;300;300;1.94890e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;3;300;300;2.03330e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;-3.66201e-02;3.85281e+00;3.78452e+00
train;me-hebbian-synapse;4;3;300;300;2.10220e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;3;300;300;2.17780e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.12025e+01;8.46094e+01;1.68326e+02
train;me-hebbian-synapse;6;3;300;300;2.26400e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;3;300;300;2.33070e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;3;300;300;2.41350e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.64061e+01;7.08691e+01;1.38295e+02
train;me-hebbian-synapse;1;3;300;300;2.48520e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;7.09489e+01;7.16520e+01;1.49123e+02
train;me-hebbian-synapse;9;4;400;400;2.56450e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;4;400;400;2.63840e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;4;400;400;2.71250e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;4;400;400;2.79540e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;4;400;400;2.86760e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;4;400;400;2.93940e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.12025e+01;8.46094e+01;1.68326e+02
train;me-hebbian-synapse;6;4;400;400;3.01350e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;4;400;400;3.08820e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;4;400;400;3.16810e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.32556e+01;8.50943e+01;1.17829e+02
train;me-hebbian-synapse;1;4;400;400;3.24220e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.15828e+01;9.51942e+01;1.90962e+02
train;me-hebbian-synapse;9;5;500;500;3.31490e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;5;500;500;3.40380e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;5;500;500;3.48520e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;5;500;500;3.54650e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;5;500;500;3.62340e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;5;500;500;3.70370e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.77269e+01;1.03417e+02;1.90862e+02
train;me-hebbian-synapse;6;5;500;500;3.77800e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;5;500;500;3.84600e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;5;500;500;3.92760e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.32556e+01;8.50943e+01;1.17829e+02
train;me-hebbian-synapse;1;5;500;500;4.00020e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.15828e+01;9.51942e+01;1.90962e+02
train;me-hebbian-synapse;9;6;600;600;4.07110e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;6;600;600;4.15290e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;6;600;600;4.22640e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;6;600;600;4.30140e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;6;600;600;4.38080e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;6;600;600;4.45870e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.77269e+01;1.03417e+02;1.90862e+02
train;me-hebbian-synapse;6;6;600;600;4.53920e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;6;600;600;4.60880e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;6;600;600;4.68370e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.32556e+01;8.50943e+01;1.17829e+02
train;me-hebbian-synapse;1;6;600;600;4.75650e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.15828e+01;9.51942e+01;1.90962e+02
train;me-hebbian-synapse;9;7;700;700;4.84100e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;7;700;700;4.91550e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;7;700;700;4.98290e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;7;700;700;5.07030e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;7;700;700;5.13500e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;7;700;700;5.20780e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;9.77269e+01;1.03417e+02;1.90862e+02
train;me-hebbian-synapse;6;7;700;700;5.28980e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;6.58519e+01;6.99272e+01;1.42253e+02
train;me-hebbian-synapse;5;7;700;700;5.36370e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;7;700;700;5.43760e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;7;700;700;5.52390e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.19148e+02;3.58377e+01;1.91575e+02
train;me-hebbian-synapse;9;8;800;800;5.59180e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;8;800;800;5.67490e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;8;800;800;5.74280e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;8;800;800;5.81460e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;8;800;800;5.90010e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.23289e+02;1.26404e+02;1.64105e+02
train;me-hebbian-synapse;3;8;800;800;5.97040e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.04176e+02;1.09413e+02;1.69149e+02
train;me-hebbian-synapse;6;8;800;800;6.03860e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;7.05241e+01;5.72452e+01;1.56709e+02
train;me-hebbian-synapse;5;8;800;800;6.11690e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.06255e+02;8.99373e+01;1.59628e+02
train;me-hebbian-synapse;2;8;800;800;6.18680e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;8;800;800;6.26600e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;9;900;900;6.34650e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;9;900;900;6.42000e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;9;900;900;6.49540e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;9;900;900;6.56850e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;9;900;900;6.64610e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.59836e+02;1.64435e+02;1.91265e+02
train;me-hebbian-synapse;3;9;900;900;6.72250e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.04176e+02;1.09413e+02;1.69149e+02
train;me-hebbian-synapse;6;9;900;900;6.79460e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;7.05241e+01;5.72452e+01;1.56709e+02
train;me-hebbian-synapse;5;9;900;900;6.87370e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;9;900;900;6.94740e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;9;900;900;7.02240e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;10;1000;1000;7.09470e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;10;1000;1000;7.16890e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;10;1000;1000;7.24580e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.40231e+01;2.70050e+01;5.54736e+01
train;me-hebbian-synapse;10;10;1000;1000;7.31870e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.73188e+01;9.06325e+01;1.81466e+02
train;me-hebbian-synapse;4;10;1000;1000;7.39830e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.59836e+02;1.64435e+02;1.91265e+02
train;me-hebbian-synapse;3;10;1000;1000;7.46790e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;10;1000;1000;7.54910e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;10;1000;1000;7.62770e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;10;1000;1000;7.71110e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;10;1000;1000;7.77710e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;11;1100;1100;7.84680e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;11;1100;1100;7.92590e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;11;1100;1100;7.99790e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;7.42880e+01;4.83789e+01;1.64368e+02
train;me-hebbian-synapse;10;11;1100;1100;8.07590e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.74111e+02;1.79651e+02;2.03484e+02
train;me-hebbian-synapse;4;11;1100;1100;8.14710e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.59836e+02;1.64435e+02;1.91265e+02
train;me-hebbian-synapse;3;11;1100;1100;8.22680e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;11;1100;1100;8.30080e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;11;1100;1100;8.37560e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;11;1100;1100;8.44850e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;11;1100;1100;8.52460e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;12;1200;1200;8.60520e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;12;1200;1200;8.67990e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;12;1200;1200;8.75060e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.20041e+02;1.24973e+02;1.62134e+02
train;me-hebbian-synapse;10;12;1200;1200;8.82040e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.42696e+02;2.46220e+02;2.04406e+02
train;me-hebbian-synapse;4;12;1200;1200;8.89600e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.02991e+02;2.01948e+02;2.18903e+02
train;me-hebbian-synapse;3;12;1200;1200;8.97550e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;12;1200;1200;9.04820e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;12;1200;1200;9.12610e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;12;1200;1200;9.20200e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;12;1200;1200;9.27790e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;13;1300;1300;9.35070e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;13;1300;1300;9.42710e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;13;1300;1300;9.49700e+01;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.64439e+02;1.67431e+02;1.82469e+02
train;me-hebbian-synapse;10;13;1300;1300;9.57670e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.42696e+02;2.46220e+02;2.04406e+02
train;me-hebbian-synapse;4;13;1300;1300;9.64720e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.02991e+02;2.01948e+02;2.18903e+02
train;me-hebbian-synapse;3;13;1300;1300;9.72860e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;13;1300;1300;9.80330e+01;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;13;1300;1300;9.87420e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;13;1300;1300;9.95600e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;13;1300;1300;1.00254e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;14;1400;1400;1.01030e+02;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;14;1400;1400;1.01779e+02;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;14;1400;1400;1.02508e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.64439e+02;1.67431e+02;1.82469e+02
train;me-hebbian-synapse;10;14;1400;1400;1.03243e+02;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.42696e+02;2.46220e+02;2.04406e+02
train;me-hebbian-synapse;4;14;1400;1400;1.04005e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.02991e+02;2.01948e+02;2.18903e+02
train;me-hebbian-synapse;3;14;1400;1400;1.04761e+02;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;14;1400;1400;1.05549e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;14;1400;1400;1.06311e+02;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;14;1400;1400;1.06984e+02;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.10710e+02;7.99705e+01;1.50607e+02
train;me-hebbian-synapse;1;14;1400;1400;1.07727e+02;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;15;1500;1500;1.08499e+02;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;15;1500;1500;1.09311e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;15;1500;1500;1.10012e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.64439e+02;1.67431e+02;1.82469e+02
train;me-hebbian-synapse;10;15;1500;1500;1.10864e+02;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.42696e+02;2.46220e+02;2.04406e+02
train;me-hebbian-synapse;4;15;1500;1500;1.11561e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.02991e+02;2.01948e+02;2.18903e+02
train;me-hebbian-synapse;3;15;1500;1500;1.12284e+02;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.78568e+02;1.86207e+02;2.28647e+02
train;me-hebbian-synapse;6;15;1500;1500;1.13006e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;15;1500;1500;1.13784e+02;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;15;1500;1500;1.14515e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.77364e+02;1.72778e+02;1.65852e+02
train;me-hebbian-synapse;1;15;1500;1500;1.15299e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.87172e+02;1.95717e+02;2.31282e+02
train;me-hebbian-synapse;9;16;1600;1600;1.16000e+02;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
train;me-hebbian-synapse;7;16;1600;1600;1.16794e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;8.11818e+01;8.84686e+01;1.54932e+02
train;me-hebbian-synapse;8;16;1600;1600;1.17512e+02;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.86799e+02;1.85084e+02;1.67034e+02
train;me-hebbian-synapse;10;16;1600;1600;1.18284e+02;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.42696e+02;2.46220e+02;2.04406e+02
train;me-hebbian-synapse;4;16;1600;1600;1.18985e+02;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.02991e+02;2.01948e+02;2.18903e+02
train;me-hebbian-synapse;3;16;1600;1600;1.19771e+02;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.86881e+02;1.90459e+02;2.31086e+02
train;me-hebbian-synapse;6;16;1600;1600;1.20467e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.22177e+02;1.25901e+02;1.71922e+02
train;me-hebbian-synapse;5;16;1600;1600;1.21247e+02;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.82484e+02;1.85919e+02;2.25975e+02
train;me-hebbian-synapse;2;16;1600;1600;1.22070e+02;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;1.77364e+02;1.72778e+02;1.65852e+02
train;me-hebbian-synapse;1;16;1600;1600;1.22762e+02;17;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;3.52374e+02;3.57272e+02;1.71948e+02
train;me-hebbian-synapse;9;17;1700;1700;1.23539e+02;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;616;2.00569e+02;2.05051e+02;2.44534e+02
