n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.maturePerformance	xor._.me.hebbian.network.best.quality.maturePerformance.min	xor._.me.hebbian.network.best.quality.maturePerformance.max	xor._.me.hebbian.layer.best.quality.maturePerformance	xor._.me.hebbian.layer.best.quality.maturePerformance.min	xor._.me.hebbian.layer.best.quality.maturePerformance.max	xor._.me.hebbian.neuron.best.quality.maturePerformance	xor._.me.hebbian.neuron.best.quality.maturePerformance.min	xor._.me.hebbian.neuron.best.quality.maturePerformance.max	xor._.me.hebbian.synapse.best.quality.maturePerformance	xor._.me.hebbian.synapse.best.quality.maturePerformance.min	xor._.me.hebbian.synapse.best.quality.maturePerformance.max	xor._.me.freeForm.best.quality.maturePerformance	xor._.me.freeForm.best.quality.maturePerformance.min	xor._.me.freeForm.best.quality.maturePerformance.max
5.600e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	6.500e-01	1.000e+00
5.700e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
5.800e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
5.900e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.000e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.100e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.200e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.300e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.400e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.500e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
